;CODIGO;TP;GRUPO;DESCRICAO;U.M.;ARMZ;SALDO FISICO;;;;CURVA;;
1;M1000038;MC;M100;PLACA  DE APERTO DA FACA  AGLU;PC;02;4;#REF!;2541798,17;#REF!;B;M1000038;
2;M1888888;MC;M100;FACA CORTE CABECA GRANULACAO;PC;02;160;#REF!;2541798,17;#REF!;A;M1888888;
3;M1007777;MC;M100;PASTILHA AGLUTINADOR DORMENTE;PC;02;4;#REF!;2541798,17;#REF!;B;M1007777;
4;M1006666;MC;M100;ENSERTOS DAS PASTILHAS;PC;02;4;#REF!;2541798,17;#REF!;B;M1006666;
5;M1000107;MC;M100;FACAS DE CORTE MAQUINA EREMA;PC;02;290;#REF!;2541798,17;#REF!;A;M1000107;
6;M1000119;MC;M100;FACA 4X40X38 – EREMA;PC;02;19;#REF!;2541798,17;#REF!;A;M1000119;
7;M1000120;MC;M100;FACA PARA TRITURADOR – WNR 1.2436 VC 131 - STF;PC;02;28;#REF!;2541798,17;#REF!;A;M1000120;
8;M1000121;MC;M100;CONTRA FACA PARA TRITURADOR – WNR 1.2436 VC 131 - STF;PC;02;8;#REF!;2541798,17;#REF!;A;M1000121;
9;M1010116;MC;M101;PARAF ALLEN C/C M20X80;CT;02;1.21;#REF!;2541798,17;#REF!;B;M1010116;
10;M1010391;MC;M101;ANEL BRONZE- CB 230;PC;02;1;#REF!;2541798,17;#REF!;B;M1010391;
11;M1010432;MC;M101;ANEL DE APOIO Ø 250X37MM-ACO;PC;02;1;#REF!;2541798,17;#REF!;B;M1010432;
12;M1010433;MC;M101;DISCO DE APOIO Ø 249,80X10MM-BRONZE;PC;02;2;#REF!;2541798,17;#REF!;B;M1010433;
13;M1010441;MC;M101;PARAF. ALLEM S/C M12X25;CT;02;2.16;#REF!;2541798,17;#REF!;B;M1010441;
14;M1010444;MC;M101;PARAF.ALLEN M8X25MM C/C BAIXA INOX;CT;02;1.40;#REF!;2541798,17;#REF!;B;M1010444;
15;M1010451;MC;M101;SUPORTE P/PASTILHA-HELICE AQUECIMENTO;PC;02;3;#REF!;2541798,17;#REF!;B;M1010451;
16;M1010467;MC;M101;ARRUELA LISA ACO 6 X 60,5 X 76 P/TUBO DE AQUECIMENTO DA CRUZETA;PC;02;15;#REF!;2541798,17;#REF!;B;M1010467;
17;M1010477;MC;M101;PARAF SEXT FLANGEADO M18 X 60 10.9 SEIBT;CT;02;0.23;#REF!;2541798,17;#REF!;B;M1010477;
18;M1010480;MC;M101;"PARAF. ALLEN 1X16"" C/ PORCA (ROCLA )";PC;02;10;#REF!;2541798,17;#REF!;A;M1010480;
19;M1010482;MC;M101;ANEL BRONZE - CB190;PC;02;1;#REF!;2541798,17;#REF!;B;M1010482;
20;M1010488;MC;M101;PARA SEXT 3/4 X 4´´;CT;02;0.22;#REF!;2541798,17;#REF!;B;M1010488;
21;M1010522;MC;M101;ESPAGUETE 18MM PARA ALTA TEMPERATURA;MT;02;5;#REF!;2541798,17;#REF!;B;M1010522;
22;M1010540;MC;M101;ANEL ORING 390X8 (EREMA);PC;02;2;#REF!;2541798,17;#REF!;B;M1010540;
23;M1010549;MC;M101;BROCA HELICOIDAL EM ACO RAPIDO DE 23,50MM;PC;02;2;#REF!;2541798,17;#REF!;B;M1010549;
24;M1010622;MC;M101;PARAF ALLEN M16X30MM INOX - EREMA;CT;02;0.31;#REF!;2541798,17;#REF!;B;M1010622;
25;M1010736;MC;M101;PARAFUSO SEXTAVADO INOX  M16X100 ROSCA TOTAL;CT;02;0.20;#REF!;2541798,17;#REF!;B;M1010736;
26;M1010828;MC;M101;KIT TEFLON - CB190;PC;02;2;#REF!;2541798,17;#REF!;A;M1010828;
27;M1010872;MC;M101;BUCHA FACA MOINHO 55MM;CT;02;0.15;#REF!;2541798,17;#REF!;A;M1010872;
28;M1010873;MC;M101;BUCHA FACA MOINHO 62MM;CT;02;0.12;#REF!;2541798,17;#REF!;A;M1010873;
29;M1010885;MC;M101;RET. (110 X 140 X 13-BR) - 18177 (VEDABRAS);PC;02;2;#REF!;2541798,17;#REF!;B;M1010885;
30;M1010924;MC;M101;RETENTOR 750X100X12 V75 BE1;PC;02;2;#REF!;2541798,17;#REF!;B;M1010924;
31;M1010925;MC;M101;RETENTOR 150X180X15 V75 BE2;PC;02;2;#REF!;2541798,17;#REF!;B;M1010925;
32;M1010926;MC;M101;RETENTOR 200X230X15 V75 BE2;PC;02;2;#REF!;2541798,17;#REF!;B;M1010926;
33;M1010946;MC;M101;RETENTOR 160 X 200 X 12 – VITON – RED. H 27 2 22 P580 – 2CC - EXT-301;PC;02;4;#REF!;2541798,17;#REF!;A;M1010946;
34;M1010975;MC;M101;RETENTOR 130 X 160 X 12 - VITON – RED. H 23 2 22 P580 – 2CC - EXT-302;PC;02;2;#REF!;2541798,17;#REF!;B;M1010975;
35;M1020002;MC;M102;ROL UCX10V22;PC;02;4;#REF!;2541798,17;#REF!;B;M1020002;
36;M1020023;MC;M102;ROL 6308 ZZ;PC;02;6;#REF!;2541798,17;#REF!;B;M1020023;
37;M1020026;MC;M102;ROL 6316 C3;PC;02;5;#REF!;2541798,17;#REF!;A;M1020026;
38;M1020031;MC;M102;ROL 6319 C3;PC;02;3;#REF!;2541798,17;#REF!;B;M1020031;
39;M1020032;MC;M102;ROL NU 322 C3;PC;02;3;#REF!;2541798,17;#REF!;A;M1020032;
40;M1020034;MC;M102;ROL AUTOCOM ESFERA 2310 CC;PC;02;2;#REF!;2541798,17;#REF!;B;M1020034;
41;M1020035;MC;M102;ROL 22209 EK;PC;02;7;#REF!;2541798,17;#REF!;B;M1020035;
42;M1020036;MC;M102;ROL 22309 E;PC;02;8;#REF!;2541798,17;#REF!;B;M1020036;
43;M1020044;MC;M102;ROL 32206;PC;02;11;#REF!;2541798,17;#REF!;B;M1020044;
44;M1020045;MC;M102;ROL 32215;PC;02;6;#REF!;2541798,17;#REF!;B;M1020045;
45;M1020046;MC;M102;ROL 6024;PC;02;2;#REF!;2541798,17;#REF!;B;M1020046;
46;M1020051;MC;M102;RODIZIO G GRAX 62UPS P/400KG;PC;02;6;#REF!;2541798,17;#REF!;A;M1020051;
47;M1020052;MC;M102;RODIZIO F FRAX 62UPS P/ 400KG;PC;02;9;#REF!;2541798,17;#REF!;A;M1020052;
48;M1020060;MC;M102;ROL SKF 51320;PC;02;3;#REF!;2541798,17;#REF!;A;M1020060;
49;M1020062;MC;M102;ROL UC 212 DIAM 60;PC;02;2;#REF!;2541798,17;#REF!;B;M1020062;
50;M1020076;MC;M102;ROL UC 312 DIAM 60;PC;02;2;#REF!;2541798,17;#REF!;B;M1020076;
51;M1020086;MC;M102;VEDACAO P/ MANCAL  TSNH 312 G;PC;02;4;#REF!;2541798,17;#REF!;B;M1020086;
52;M1020094;MC;M102;ROL 22208;PC;02;8;#REF!;2541798,17;#REF!;B;M1020094;
53;M1020099;MC;M102;SELO MECANICO Ø29MM;PC;02;3;#REF!;2541798,17;#REF!;B;M1020099;
54;M1020119;MC;M102;ROL ESFERA 2204-2RSR-TV   (SAGEC);PC;02;20;#REF!;2541798,17;#REF!;A;M1020119;
55;M1020135;MC;M102;MANCAL MFC5 (SAGEC);PC;02;1;#REF!;2541798,17;#REF!;B;M1020135;
56;M1020142;MC;M102;ROLAMENTO UC209 Ø45MM;PC;02;5;#REF!;2541798,17;#REF!;B;M1020142;
57;M1020145;MC;M102;ROL 22206 E4 C3 S11;PC;02;4;#REF!;2541798,17;#REF!;B;M1020145;
58;M1020153;MC;M102;MANCAL MF C5A  (SAGEC);PC;02;6;#REF!;2541798,17;#REF!;B;M1020153;
59;M1020160;MC;M102;ROL 22213 EAE 4C3;PC;02;1;#REF!;2541798,17;#REF!;B;M1020160;
60;M1020163;MC;M102;MANCAL INFERIOR DO SILO;PC;02;1;#REF!;2541798,17;#REF!;B;M1020163;
61;M1020170;MC;M102;ROL 22210;PC;02;2;#REF!;2541798,17;#REF!;B;M1020170;
62;M1020185;MC;M102;ROL UC 210 / 50MM;PC;02;4;#REF!;2541798,17;#REF!;B;M1020185;
63;M1020221;MC;M102;ROL NJ-308 FAG;PC;02;6;#REF!;2541798,17;#REF!;B;M1020221;
64;M1020228;MC;M102;ROL NJ308-E-XL-M1#E - BRONZE - STF;PC;02;6;#REF!;2541798,17;#REF!;A;M1020228;
65;M1020240;MC;M102;MANCAL SY 510 M - SKF;PC;02;7;#REF!;2541798,17;#REF!;B;M1020240;
66;M1020244;MC;M102;MANCAL EIXO RECARTILHADO (SAGEC);PC;02;1;#REF!;2541798,17;#REF!;B;M1020244;
67;M1020246;MC;M102;MANCAL QUADRADO PARA EIXO PRESSOR GRANULADORES;PC;02;2;#REF!;2541798,17;#REF!;B;M1020246;
68;M1030030;MC;M103;MOTOR ELETRICO 50CV WEG;UN;02;0;#REF!;2541798,17;#REF!;A;M1030030;
69;M1030030R;MC;M103;MOTOR ELETRICO 50CV WEG;UN;02;1;#REF!;2541798,17;#REF!;A;M1030030R;
70;M1030050;MC;M103;BOMBA GLASS GF-50-20 AT;PC;02;1;#REF!;2541798,17;#REF!;A;M1030050;
71;M1030213;MC;M103;COMPRESSOR RADIAL 8,45 CV TRI 2CRN  810 16 ST P2;PC;02;1;#REF!;2541798,17;#REF!;A;M1030213;
72;M1040070;MC;M104;ABRAC MET 38X51 REFORCADA;PC;02;94;#REF!;2541798,17;#REF!;B;M1040070;
73;M1040096;MC;M104;KIT REPARO VEDACAO EM VITON Nº230.264;KT;02;5;#REF!;2541798,17;#REF!;B;M1040096;
74;M1040097;MC;M104;KIT REPARO CH 230 VITON;KT;02;3;#REF!;2541798,17;#REF!;B;M1040097;
75;M1040241;MC;M104;CURVA 90º RAIO CURTO Ø152 INOX;PC;02;3;#REF!;2541798,17;#REF!;B;M1040241;
76;M1040283;MC;M104;VALVULA DE ALIVIO BVM142/58;PC;02;5;#REF!;2541798,17;#REF!;B;M1040283;
77;M1040289;MC;M104;"KIT REP. CILINDRO HIDRAULICO Ø5"" X 3.1/2""";PC;02;2;#REF!;2541798,17;#REF!;B;M1040289;
78;M1040318;MC;M104;FILTRO REGULADOR LUBRIFICADOR;PC;02;1;#REF!;2541798,17;#REF!;B;M1040318;
79;M1040323;MC;M104;TRANSMISSOR DE PRESSAO;PC;02;2;#REF!;2541798,17;#REF!;A;M1040323;
80;M1040331;MC;M104;SEAL TUBO 2 POL;MT;02;15;#REF!;2541798,17;#REF!;B;M1040331;
81;M1040335;MC;M104;FILTRO N95;PC;02;32;#REF!;2541798,17;#REF!;B;M1040335;
82;M1040336;MC;M104;FILTRO QUIMICO OV;PC;02;54;#REF!;2541798,17;#REF!;A;M1040336;
83;M1040444;MC;M104;KIT VEDACAO-UNID.HIDR.COMPL.(6.06.001-6);PC;02;5;#REF!;2541798,17;#REF!;B;M1040444;
84;M1040476;MC;M104;TUBO Ø152X1,5PARED.X6.000 INOX;PC;02;1;#REF!;2541798,17;#REF!;A;M1040476;
85;M1040537;MC;M104;"COTOVELO GALVANIZADO TUPYPRESS COM ROSCA BSP 1""";PC;02;3;#REF!;2541798,17;#REF!;B;M1040537;
86;M1040539;MC;M104;VEDACAO ENTRADA / SAIDA - TVSEV1750-10-4F;PC;02;3;#REF!;2541798,17;#REF!;B;M1040539;
87;M1040611;MC;M104;CURVA 90º RAIO CURTO Ø127MM -INOX;PC;02;1;#REF!;2541798,17;#REF!;B;M1040611;
88;M1040613;MC;M104;KIT REPARO DO PISTAO EM VITON CB-190;PC;02;3;#REF!;2541798,17;#REF!;B;M1040613;
89;M1040614;MC;M104;COTOVELO 2´´ TUPYPRESS REF.1907 (GALVANIZADO);PC;02;4;#REF!;2541798,17;#REF!;B;M1040614;
90;M1040623;MC;M104;"VALVULA DE ESFERA 2"" GALVANIZADA";PC;02;0;#REF!;2541798,17;#REF!;B;M1040623;
91;M1040681;MC;M104;FILTRO DE OLEO GA11-30C (ATLAS COPCO);PC;02;2;#REF!;2541798,17;#REF!;B;M1040681;
92;M1040682;MC;M104;KIT FILTRO GA11-22;PC;02;2;#REF!;2541798,17;#REF!;B;M1040682;
93;M1040738;MC;M104;"VALVULA NAMUR 5/2 VIAS SIMPLES SOLENOIDE 220V ROSCA 1/4"" BSP S.300 4M310-08-220V";PC;02;1;#REF!;2541798,17;#REF!;B;M1040738;
94;M1040760;MC;M104;"VALVULA SIMPLES/SOL. 5/2 VIAS ROSCA 1/4"" 24VCC -PARKER";PC;02;3;#REF!;2541798,17;#REF!;B;M1040760;
95;M1040905;MC;M104;REGULADOR DE GAS ALIANCA GLP 76510/01 50KG/H LARANJA;PC;02;1;#REF!;2541798,17;#REF!;B;M1040905;
96;M1040909;MC;M104;CURVA LINHA DA LAVAGEM 6´´ X950X950X3MM -CONFORME DESENHO;PC;02;2;#REF!;2541798,17;#REF!;A;M1040909;
97;M1041084;MC;M104;FILTRO DE AR FEA 1301 - TECNOAR;UN;02;8;#REF!;2541798,17;#REF!;B;M1041084;
98;M1041146;MC;M104;KIT REPARO DE CILINDRO (ANEL O'RING, GAXETA, RASPADOR, GAXETA 82,5X69,85X6,35);KT;02;4;#REF!;2541798,17;#REF!;B;M1041146;
99;M1041163;MC;M104;FILTRO DE AR KPA325CAK420 (COD.FIFKP030509 - VIZURI);PC;02;2;#REF!;2541798,17;#REF!;B;M1041163;
100;M1044461;MC;M104;VALVULA ESCAPE RAPIDO 1/4-PADRAO LAMPE;PC;02;6;#REF!;2541798,17;#REF!;B;M1044461;
101;M1044462;MC;M104;TORNEIRA MISTURADORA COZINHA PAREDE (DECA);PC;02;2;#REF!;2541798,17;#REF!;B;M1044462;
102;M1044493;MC;M104;TEE 1/2 TUPYPRESS COM ROSCA CENTRAL(GALVANIZADO);PC;02;5;#REF!;2541798,17;#REF!;B;M1044493;
103;M1044507;MC;M104;VALVULA DE DESCARGA P/ UN.HIDRAULICA-TROCA TELA-GLOBAL LHG-030.15;PC;02;1;#REF!;2541798,17;#REF!;B;M1044507;
104;M1048022;MC;M104;CILINDRO CD85N16-50-B;PC;02;1;#REF!;2541798,17;#REF!;B;M1048022;
105;M1048079;MC;M104;DIAFRAGMA BOMBA PNEUMATICA;PC;02;2;#REF!;2541798,17;#REF!;B;M1048079;
106;M1048080;MC;M104;ESFERA BOMBA PNEUMATICA;PC;02;4;#REF!;2541798,17;#REF!;A;M1048080;
107;M1048081;MC;M104;ASSENTO BOMBA PNEUMATICA;PC;02;4;#REF!;2541798,17;#REF!;B;M1048081;
108;M1048084;MC;M104;KIT MANUTENCAO SISTEMA DE AR BOMBA PNEUMATICA;PC;02;1;#REF!;2541798,17;#REF!;B;M1048084;
109;M1048121;MC;M104;VALV MV 5/2 1/8 COMANDO BOTAO PUSH-PULL - PICOTADOR;PC;02;3;#REF!;2541798,17;#REF!;B;M1048121;
110;M1050068;MC;M105;HELICE DE AGLUTINADOR 1300;PC;02;1;#REF!;2541798,17;#REF!;A;M1050068;
111;M1050114;MC;M105;EIXO DO PISTAO DIVERSORA;PC;02;4;#REF!;2541798,17;#REF!;A;M1050114;
112;M1050142;MC;M105;CANALETA SIST X 50X50;UN;02;15;#REF!;2541798,17;#REF!;B;M1050142;
113;M1050154;MC;M105;EIXO SUPERIOR P/ SILO DE 5000KG - TEMPERADO;PC;02;1;#REF!;2541798,17;#REF!;B;M1050154;
114;M1050175;MC;M105;EIXO INFERIOR P/ SILO DE 5000KG - TEMPERADO;PC;02;1;#REF!;2541798,17;#REF!;B;M1050175;
115;M1050185;MC;M105;BUCHA RANHURADA DIAM 155MM;PC;02;1;#REF!;2541798,17;#REF!;A;M1050185;
116;M1050207;MC;M105;POLIA ROTOR DO GRANULADOR  - SAGEC;PC;02;2;#REF!;2541798,17;#REF!;B;M1050207;
117;M1050229;MC;M105;MOLDURA SILICONE ALTA TEMP300G;PC;02;3;#REF!;2541798,17;#REF!;B;M1050229;
118;M1050236;MC;M105;ROTOR  EM BRONZE PARA BVAL -II -220;PC;02;1;#REF!;2541798,17;#REF!;A;M1050236;
119;M1050245;MC;M105;ANEL TRIANGULAR 253X267X8,6 SILICONE 60;PC;02;2;#REF!;2541798,17;#REF!;B;M1050245;
120;M1050272;MC;M105;VEDACAO-VACUO-MP 120/130;PC;02;2;#REF!;2541798,17;#REF!;A;M1050272;
121;M1050274;MC;M105;MOLA DO ROLETE DE BORRACHA-P.O    (SAGEC);PC;02;19;#REF!;2541798,17;#REF!;B;M1050274;
122;M1050305;MC;M105;EIXO ACIONAMENT.CHAV.IMPACT.5140093-08;PC;02;4;#REF!;2541798,17;#REF!;B;M1050305;
123;M1050320;MC;M105;EMPUNHADURA CHAV.IMPACT.5140068-98;PC;02;6;#REF!;2541798,17;#REF!;B;M1050320;
124;M1050339;MC;M105;VENTILADOR AXIAL 48VCC C/CABO 60MM;PC;02;1;#REF!;2541798,17;#REF!;B;M1050339;
125;M1050346;MC;M105;PASTILHA DA HELICE DE AQUECIMENTO;PC;02;4;#REF!;2541798,17;#REF!;A;M1050346;
126;M1050364;MC;M105;CONTROLE ELETROMECANICO-CN1 328 B   220V C/HASTE DE 80MM- COEL;PC;02;1;#REF!;2541798,17;#REF!;B;M1050364;
127;M1050365;MC;M105;SINALIZADOR VISUAL VERDE-220V ASGB-FF-R;PC;02;1;#REF!;2541798,17;#REF!;B;M1050365;
128;M1050370;MC;M105;KIT REPARO P/BOMBA P11A 139BEEJ;PC;02;4;#REF!;2541798,17;#REF!;B;M1050370;
129;M1050399;MC;M105;CENTRO ELASTICO ACOPLAMENTO AT 90;PC;02;1;#REF!;2541798,17;#REF!;B;M1050399;
130;M1050404;MC;M105;GRAMPO TORPEDO 95020 - POS 06;PC;02;2;#REF!;2541798,17;#REF!;B;M1050404;
131;M1050406;MC;M105;NIVEL TIPO BOLHA PARA PLASTOMETRO COM PROTECAO;PC;02;2;#REF!;2541798,17;#REF!;B;M1050406;
132;M1050413;MC;M105;CAPELA DO VACUO MP 120/130;PC;02;1;#REF!;2541798,17;#REF!;A;M1050413;
133;M1050428;MC;M105;ENGRENAGEM MOV. ESQ. CABECOTE 50MM LAMPE;PC;02;6;#REF!;2541798,17;#REF!;B;M1050428;
134;M1050429;MC;M105;ENGRENAGEM MOTORA CABECOTE 50MM;PC;02;3;#REF!;2541798,17;#REF!;B;M1050429;
135;M1050430;MC;M105;EIXO GUIA DA PINCA CABECOTE 50MM ESQ. LAMPE;PC;02;5;#REF!;2541798,17;#REF!;B;M1050430;
136;M1050431;MC;M105;PINCA TRACAO BROCA 19MM CABECOTE 50MM ESQ. LAMPE;PC;02;2;#REF!;2541798,17;#REF!;B;M1050431;
137;M1050433;MC;M105;ELEMENTO FILTRANTE P/FILTRO DE PRESSAO;PC;02;1;#REF!;2541798,17;#REF!;B;M1050433;
138;M1050450;MC;M105;SUPORTE BVMII-120/20 C80 ASTM A48 CL30;PC;02;1;#REF!;2541798,17;#REF!;B;M1050450;
139;M1050451;MC;M105;PLACA  BVM-120/20-120/46 ASTM A48 CL30 C/ PARAF.;PC;02;1;#REF!;2541798,17;#REF!;B;M1050451;
140;M1050461;MC;M105;ENGRENAGEM DE TRANSMISSAO SG-300   (SAGEC);PC;02;2;#REF!;2541798,17;#REF!;B;M1050461;
141;M1050473;MC;M105;ENGRENAGEM MOV. DIREITA CABECOTE 50MM - LAMPE;PC;02;6;#REF!;2541798,17;#REF!;A;M1050473;
142;M1050474;MC;M105;EIXO GUIA DA PINCA CABECOTE 50MM DIREITA - LAMPE;PC;02;2;#REF!;2541798,17;#REF!;B;M1050474;
143;M1050475;MC;M105;PINCA TRACAO BROCA 19MM CABECOTE 50MM -DIREITA LAMPE;PC;02;2;#REF!;2541798,17;#REF!;B;M1050475;
144;M1050490;MC;M105;ABRACADEIRA COM PORCA E CHAVE PARA APERTO 24MM;PC;02;1;#REF!;2541798,17;#REF!;B;M1050490;
145;M1050493;MC;M105;VENTILADOR 204ZX 230V - UNIKY;PC;02;2;#REF!;2541798,17;#REF!;A;M1050493;
146;M1050494;MC;M105;POLIA B4 650  4 CANAIS (P/ MISTURADOR 1230);PC;02;1;#REF!;2541798,17;#REF!;B;M1050494;
147;M1050511;MC;M105;SUPORTE MANDRIL P/ MAQUINA FURACAO DE CRUZETAS;PC;02;2;#REF!;2541798,17;#REF!;B;M1050511;
148;M1050518;MC;M105;EIXO INFERIOR DO MISTURADOR VERTICAL 20.000L;PC;02;1;#REF!;2541798,17;#REF!;B;M1050518;
149;M1050531;MC;M105;CONTROLE ELETROMECANICO-CN 1328 A220VCA HASTE COMPRIMENTO 200MM;PC;02;1;#REF!;2541798,17;#REF!;B;M1050531;
150;M1050545;MC;M105;EIXO DO ARRASTE, CONFORME MODELO NOVO COM PONTEIRA REMOVIVEL;PC;02;1;#REF!;2541798,17;#REF!;B;M1050545;
151;M1050568;MC;M105;PATINS  -  MAS-15-ESSFCN;PC;02;4;#REF!;2541798,17;#REF!;B;M1050568;
152;M1050574;MC;M105;EIXO DA BROCA    - TOPFER;PC;02;2;#REF!;2541798,17;#REF!;B;M1050574;
153;M1050612;MC;M105;EIXO DA MATRIZ EXTRUSAO  - TOPFER;PC;02;6;#REF!;2541798,17;#REF!;B;M1050612;
154;M1050613;MC;M105;ROTOR THEBE THSI  18;PC;02;1;#REF!;2541798,17;#REF!;B;M1050613;
155;M1050614;MC;M105;BUCHA TRANSPORTADORA ROSCA - 1020 E BRONZE - TOPFER;PC;02;2;#REF!;2541798,17;#REF!;A;M1050614;
